rel_time_sec,x_px,y_px
581.8187866210938,539.0,566.0
582.9759521484375,675.0,699.0
583.5330810546875,675.0,699.0
584.3128051757812,480.0,436.0
584.5308227539062,480.0,436.0
584.9827270507812,480.0,436.0
584.998046875,480.0,436.0
585.1992797851562,480.0,436.0
585.8010864257812,485.0,433.0
586.033935546875,486.0,434.0
586.056884765625,486.0,434.0
586.2774658203125,486.0,434.0
586.4639892578125,486.0,434.0
586.4666748046875,486.0,434.0
586.6852416992188,486.0,434.0
586.8659057617188,486.0,434.0
587.0756225585938,486.0,434.0
587.0946044921875,486.0,434.0
587.3006591796875,486.0,434.0
587.3082275390625,486.0,434.0
587.4896850585938,486.0,434.0
587.4959106445312,486.0,434.0
587.6969604492188,486.0,434.0
587.7080688476562,486.0,434.0
587.8948364257812,486.0,439.0
587.9059448242188,486.0,439.0
588.086669921875,486.0,441.0
588.302001953125,486.0,441.0
588.3045654296875,486.0,441.0
588.5026245117188,486.0,441.0
588.5092163085938,486.0,441.0
588.7385864257812,486.0,441.0
588.7776489257812,486.0,441.0
588.9764404296875,486.0,445.0
588.9849853515625,486.0,445.0
589.1961669921875,488.0,441.0
589.2155151367188,488.0,441.0
589.4331665039062,488.0,442.0
589.903076171875,489.0,444.0
589.904296875,489.0,444.0
590.1306762695312,489.0,444.0
590.344482421875,489.0,444.0
590.3790283203125,489.0,444.0
590.5927734375,489.0,444.0
590.801513671875,489.0,444.0
590.8096923828125,489.0,444.0
592.7164916992188,335.0,500.0
592.8912353515625,335.0,500.0
593.380859375,403.0,465.0
593.3836059570312,403.0,465.0
593.5852661132812,406.0,461.0
593.7802734375,406.0,461.0
593.988525390625,406.0,461.0
594.1690673828125,406.0,461.0
594.5640869140625,406.0,461.0
594.584228515625,406.0,461.0
594.776123046875,406.0,461.0
594.7896118164062,406.0,461.0
594.987548828125,406.0,461.0
594.9942626953125,406.0,461.0
595.1896362304688,406.0,461.0
595.386962890625,406.0,461.0
595.5842895507812,406.0,461.0
595.7905883789062,406.0,461.0
595.9971313476562,406.0,461.0
596.2037963867188,406.0,461.0
596.4097290039062,406.0,461.0
596.6069946289062,406.0,461.0
596.8123779296875,406.0,461.0
597.3396606445312,409.0,453.0
597.5721435546875,409.0,453.0
597.8058471679688,417.0,443.0
598.0562744140625,417.0,443.0
598.2913818359375,418.0,442.0
598.5565795898438,419.0,441.0
598.7533569335938,419.0,441.0
598.9472045898438,421.0,444.0
599.0526733398438,421.0,444.0
599.2479858398438,421.0,444.0
599.3480834960938,421.0,444.0
599.5171508789062,421.0,444.0
599.5918579101562,421.0,444.0
599.7527465820312,423.0,444.0
599.8308715820312,423.0,444.0
600.0155029296875,423.0,444.0
600.2233276367188,423.0,444.0
600.4110107421875,424.0,444.0
600.486572265625,424.0,444.0
600.6558837890625,424.0,444.0
600.7354736328125,424.0,444.0
600.9511108398438,422.0,449.0
601.056396484375,422.0,449.0
601.2470092773438,422.0,452.0
601.3237915039062,422.0,452.0
601.5084838867188,422.0,451.0
601.9513549804688,419.0,452.0
602.1397705078125,418.0,448.0
602.2681274414062,418.0,447.0
602.4402465820312,418.0,446.0
602.5305786132812,418.0,446.0
602.7156982421875,416.0,445.0
602.8041381835938,416.0,445.0
602.9647216796875,416.0,443.0
603.0949096679688,410.0,451.0
603.2635498046875,410.0,446.0
603.3402099609375,408.0,448.0
603.5370483398438,405.0,450.0
603.5396118164062,405.0,450.0
603.7258911132812,405.0,450.0
603.7283325195312,405.0,450.0
603.9254150390625,403.0,452.0
603.9331665039062,403.0,452.0
604.1069946289062,403.0,452.0
604.1152954101562,403.0,452.0
604.2954711914062,402.0,454.0
604.2997436523438,402.0,454.0
604.4899291992188,401.0,454.0
604.5150146484375,401.0,454.0
604.7169799804688,404.0,448.0
604.7240600585938,404.0,448.0
604.9241333007812,404.0,448.0
605.1596069335938,403.0,450.0
605.3770751953125,404.0,451.0
605.4949340820312,404.0,451.0
605.7017211914062,411.0,453.0
605.798828125,411.0,453.0
605.9744262695312,414.0,451.0
606.0908203125,413.0,454.0
606.2738647460938,417.0,457.0
606.363037109375,417.0,457.0
606.5333251953125,417.0,457.0
606.5889892578125,414.0,462.0
606.7511596679688,417.0,455.0
606.7979736328125,417.0,455.0
606.9908447265625,419.0,453.0
607.1875610351562,423.0,458.0
607.2225952148438,423.0,458.0
607.407470703125,423.0,458.0
607.6396484375,420.0,460.0
607.64697265625,420.0,460.0
607.8574829101562,420.0,460.0
607.8653564453125,420.0,460.0
608.0704956054688,420.0,460.0
608.2702026367188,421.0,460.0
608.4671020507812,421.0,460.0
608.4699096679688,421.0,460.0
608.669921875,421.0,460.0
608.8582763671875,421.0,460.0
609.0504150390625,421.0,460.0
609.2364501953125,421.0,460.0
609.4271240234375,421.0,460.0
609.6068115234375,421.0,460.0
609.6148681640625,421.0,460.0
609.7872314453125,422.0,459.0
609.7977294921875,422.0,461.0
609.989013671875,422.0,464.0
609.9969482421875,422.0,464.0
610.2197875976562,422.0,464.0
610.80126953125,422.0,464.0
610.9964599609375,422.0,464.0
611.00439453125,422.0,464.0
611.2166137695312,422.0,464.0
611.2242431640625,422.0,464.0
611.4186401367188,421.0,467.0
611.4449462890625,421.0,467.0
611.6343383789062,421.0,467.0
611.6383056640625,421.0,467.0
611.8642578125,421.0,467.0
612.109375,421.0,467.0
612.128662109375,421.0,467.0
612.3182373046875,418.0,467.0
612.3432006835938,418.0,467.0
612.5305786132812,418.0,467.0
612.5543823242188,418.0,467.0
612.7508544921875,418.0,467.0
612.7760009765625,418.0,467.0
612.9398193359375,418.0,467.0
612.980224609375,418.0,467.0
613.1411743164062,418.0,467.0
613.1615600585938,418.0,467.0
613.3751831054688,418.0,467.0
613.622802734375,418.0,467.0
613.85107421875,418.0,467.0
613.8634643554688,418.0,467.0
614.1231079101562,418.0,467.0
614.487060546875,418.0,463.0
614.7596435546875,418.0,463.0
614.788330078125,418.0,463.0
615.0171508789062,418.0,463.0
615.031005859375,418.0,463.0
615.2238159179688,418.0,463.0
615.2318115234375,418.0,463.0
615.4352416992188,418.0,463.0
615.442626953125,418.0,463.0
615.6505737304688,418.0,463.0
615.8628540039062,418.0,463.0
616.07421875,418.0,463.0
616.3031005859375,418.0,463.0
616.5377807617188,418.0,463.0
617.2911376953125,418.0,463.0
617.5123291015625,418.0,463.0
617.7368774414062,418.0,463.0
617.7716064453125,418.0,463.0
617.9959716796875,418.0,453.0
618.0245361328125,418.0,453.0
618.2982788085938,418.0,453.0
618.3007202148438,418.0,453.0
618.5316772460938,413.0,448.0
618.5556640625,413.0,447.0
618.7733154296875,412.0,448.0
618.7939453125,412.0,448.0
618.9730224609375,412.0,448.0
618.9757080078125,412.0,448.0
619.1962280273438,412.0,448.0
619.20458984375,412.0,448.0
619.4091796875,412.0,448.0
619.41845703125,412.0,448.0
619.6326904296875,412.0,448.0
619.6613159179688,412.0,448.0
619.8453369140625,412.0,448.0
620.0828247070312,412.0,448.0
620.0914306640625,412.0,448.0
620.2920532226562,412.0,448.0
620.3067016601562,412.0,448.0
620.5067749023438,412.0,448.0
620.5110473632812,412.0,448.0
620.7299194335938,412.0,448.0
620.73828125,412.0,448.0
620.9390869140625,412.0,448.0
620.96875,412.0,448.0
621.1664428710938,412.0,448.0
621.190673828125,412.0,448.0
621.3760375976562,412.0,448.0
621.3885498046875,412.0,448.0
621.6377563476562,412.0,448.0
621.874755859375,412.0,448.0
621.8824462890625,412.0,448.0
622.1043090820312,412.0,448.0
622.3329467773438,412.0,448.0
